Familia	Especie	Categoría	Criterios	Fecha_evaluación	Fecha_publicación	Iniciativa	Estado
Bromeliaceae	Puya cryptantha	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya cuatrecasasii	VU	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya dichroa	CR	B2ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya exuta	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya floccosa	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Puya furfuracea	CR	B2ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya gargantae	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya gigas	DD		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya goudotiana	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya grantii	CR	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya grubbii	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya hamata	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya horrida	DD		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya killipii	VU	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya lehmanniana	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya lineata	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
